Message ID,Subject,Message,Spam/Ham,Date,text,label,cleaned_text,tokens,processed_text,text_length,word_count,unique_words,capital_ratio,digit_ratio,exclamation_count,question_count,spam_word_count,ham_word_count,spam_ratio,spam_ham_diff,avg_word_length,url_count,email_count,money_count,predicted,probability,actual,correct
3584,this week ' s neon sheet,- awesome glory . doc,ham,2001-11-06,this week ' s neon sheet - awesome glory . doc,0,this week s neon sheet awesome glory doc,"['week', 'neon', 'sheet', 'awesome', 'glory', 'doc']",week neon sheet awesome glory doc,40,6,6,0.0,0.0,0,0,0,0,0.0,0,4.666666666666667,0,0,0,1,0.5681762623819337,0,False
16,y 2 k - texas log,"name home pager
george grant 281 - 282 - 9084 713 - 764 - 5128
charlotte hawkins 281 - 655 - 0952 713 - 506 - 4006
aimee lannou 713 - 594 - 6562 713 - 698 - 7722
robert lloyd 281 - 847 - 2808 713 - 698 - 5446
stella morris 281 - 448 - 9067 713 - 200 - 8376
susan trevino 713 - 688 - 6186 713 - 200 - 8368
kim vaughn 281 - 586 - 0910 713 - 761 - 8153
jackie young 713 - 528 - 4562 713 - 990 - 6400
carlos rodriguez 281 - 344 - 0991 713 - 761 - 2722
mandy allen 281 - 970 - 6561 713 - 990 - 8332",ham,1999-12-15,"y 2 k - texas log name home pager
george grant 281 - 282 - 9084 713 - 764 - 5128
charlotte hawkins 281 - 655 - 0952 713 - 506 - 4006
aimee lannou 713 - 594 - 6562 713 - 698 - 7722
robert lloyd 281 - 847 - 2808 713 - 698 - 5446
stella morris 281 - 448 - 9067 713 - 200 - 8376
susan trevino 713 - 688 - 6186 713 - 200 - 8368
kim vaughn 281 - 586 - 0910 713 - 761 - 8153
jackie young 713 - 528 - 4562 713 - 990 - 6400
carlos rodriguez 281 - 344 - 0991 713 - 761 - 2722
mandy allen 281 - 970 - 6561 713 - 990 - 8332",0,y k texas log name home pager george grant charlotte hawkins aimee lannou robert lloyd stella morris susan trevino kim vaughn jackie young carlos rodriguez mandy allen,"['texa', 'log', 'name', 'home', 'pager', 'george', 'grant', 'charlotte', 'hawkin', 'aimee', 'lannou', 'robert', 'lloyd', 'stella', 'morri', 'susan', 'trevino', 'kim', 'vaughn', 'jackie', 'young', 'carlo', 'rodriguez', 'mandy', 'allen']",texa log name home pager george grant charlotte hawkin aimee lannou robert lloyd stella morri susan trevino kim vaughn jackie young carlo rodriguez mandy allen,167,25,25,0.0,0.0,0,0,0,0,0.0,0,5.4,0,0,0,1,0.5865750352543023,0,False
5262,9 inch t . v .,"goodmorning ,
we need another 9 inch t . v .
i am sorry to say but we need it
as quickly as possible .
the location for the set is eb 31301 c .
delores , you may have to install cable ,
i am not sure , so would you please check
for me .
company # 0011
r . c . # 100038
thanks
kevin moore",ham,2000-01-10,"9 inch t . v . goodmorning ,
we need another 9 inch t . v .
i am sorry to say but we need it
as quickly as possible .
the location for the set is eb 31301 c .
delores , you may have to install cable ,
i am not sure , so would you please check
for me .
company # 0011
r . c . # 100038
thanks
kevin moore",0,inch t v goodmorning we need another inch t v i am sorry to say but we need it as quickly as possible the location for the set is eb c delores you may have to install cable i am not sure so would you please check for me company r c thanks kevin moore,"['inch', 'goodmorn', 'ne', 'another', 'inch', 'say', 'ne', 'quickly', 'possible', 'loca', 'set', 'delore', 'may', 'install', 'cable', 'not', 'sure', 'check', 'company', 'kevin', 'moore']",inch goodmorn ne another inch say ne quickly possible loca set delore may install cable not sure check company kevin moore,250,21,19,0.0,0.0,0,0,0,0,0.0,0,4.857142857142857,0,0,0,1,0.6647449346584005,0,False
2832,neon lesson 5,"please respond to here is lesson # 5 . have fun !
- experiencing god week 5 . doc",ham,2001-03-23,"neon lesson 5 please respond to here is lesson # 5 . have fun !
- experiencing god week 5 . doc",0,neon lesson please respond to here is lesson have fun ! experiencing god week doc,"['neon', 'lesson', 'respond', 'lesson', 'fun', 'experienc', 'god', 'week', 'doc']",neon lesson respond lesson fun experienc god week doc,81,9,8,0.0,0.0,1,0,0,0,0.0,0,5.0,0,0,0,1,0.5626672599908986,0,False
22919,srm - direct reports,"southern cone risk management
martha stevens x 34742
sitara development
tom engel x 31488
russ severson x 37386
bill kasemervisz x 57579
hunaid engineer x 37913
srm",ham,2000-06-12,"srm - direct reports southern cone risk management
martha stevens x 34742
sitara development
tom engel x 31488
russ severson x 37386
bill kasemervisz x 57579
hunaid engineer x 37913
srm",0,srm direct reports southern cone risk management martha stevens x sitara development tom engel x russ severson x bill kasemervisz x hunaid engineer x srm,"['srm', 'direct', 'report', 'southern', 'cone', 'risk', 'management', 'martha', 'steven', 'sitara', 'development', 'tom', 'engel', 'rus', 'severson', 'bill', 'kasemervisz', 'hunaid', 'engineer', 'srm']",srm direct report southern cone risk management martha steven sitara development tom engel rus severson bill kasemervisz hunaid engineer srm,153,20,19,0.0,0.0,0,0,0,1,0.0,-1,6.05,0,0,0,1,0.5559348927223673,0,False
14126,i ' ll work up the eol 2002 budget figures for you asap . i ' d also like to continue our discussion about the credit idea .,0,ham,2001-11-26,i ' ll work up the eol 2002 budget figures for you asap . i ' d also like to continue our discussion about the credit idea . ,0,i ll work up the eol budget figures for you asap i d also like to continue our discussion about the credit idea,"['work', 'eol', 'budget', 'figure', 'asap', 'also', 'like', 'continue', 'discussion', 'credit', 'idea']",work eol budget figure asap also like continue discussion credit idea,111,11,11,0.0,0.0,0,0,1,1,0.0909090909090909,0,5.363636363636363,0,0,0,1,0.596188344866072,0,False
17033,path 15,"path 15 s - n flows are near the limit . beep has been put into split region
mode as of 2313 hours . beep will dispatch in two zones and will produce two
ex - post prices . sent by market operations , inquiries please call the real
time desk .
the system conditions described in this communication are dynamic and
subject to change . while the iso has attempted to reflect the most current ,
accurate information available in preparing this notice , system conditions
may change suddenly with little or no notice .",ham,2001-08-09,"path 15 path 15 s - n flows are near the limit . beep has been put into split region
mode as of 2313 hours . beep will dispatch in two zones and will produce two
ex - post prices . sent by market operations , inquiries please call the real
time desk .
the system conditions described in this communication are dynamic and
subject to change . while the iso has attempted to reflect the most current ,
accurate information available in preparing this notice , system conditions
may change suddenly with little or no notice .",0,path path s n flows are near the limit beep has been put into split region mode as of hours beep will dispatch in two zones and will produce two ex post prices sent by market operations inquiries please call the real time desk the system conditions described in this communication are dynamic and subject to change while the iso has attempted to reflect the most current accurate information available in preparing this notice system conditions may change suddenly with little or no notice,"['path', 'path', 'flow', 'near', 'limit', 'beep', 'put', 'split', 'region', 'mode', 'hour', 'beep', 'will', 'dispatch', 'two', 'zone', 'will', 'produce', 'two', 'post', 'price', 'market', 'operation', 'inquirie', 'call', 'real', 'time', 'desk', 'system', 'condition', 'describ', 'communica', 'dynamic', 'change', 'iso', 'attempt', 'reflect', 'current', 'accurate', 'informa', 'available', 'prepar', 'notice', 'system', 'condition', 'may', 'change', 'suddenly', 'little', 'notice']",path path flow near limit beep put split region mode hour beep will dispatch two zone will produce two post price market operation inquirie call real time desk system condition describ communica dynamic change iso attempt reflect current accurate informa available prepar notice system condition may change suddenly little notice,489,50,42,0.0,0.0,0,0,0,0,0.0,0,5.6,0,0,0,1,0.5645358945835417,0,False
17228,correction : pdci and coi derate,"correction : after the day ahead market ran , the coi branch group ttc in the
north to south direction was changed from 4150 mw to 4100 mw for he 20 from
4300 mw to 4100 mws he 21 and he 22 ; the pdci in the north to south direction
from 2721 mw to 2572 mw he 20 from 2721 mw to 2572 he 21 and he 22 for the
operating day 09 - 12 - 01 . the reason ( s ) for the change is extended 500 kv line
work . the first applicable hour ahead market to run with these values is
he 20 . the iso will update you of any changes in line rating status . sent by
market operations , inquiries please call the hour ahead desk .",ham,2001-09-12,"correction : pdci and coi derate correction : after the day ahead market ran , the coi branch group ttc in the
north to south direction was changed from 4150 mw to 4100 mw for he 20 from
4300 mw to 4100 mws he 21 and he 22 ; the pdci in the north to south direction
from 2721 mw to 2572 mw he 20 from 2721 mw to 2572 he 21 and he 22 for the
operating day 09 - 12 - 01 . the reason ( s ) for the change is extended 500 kv line
work . the first applicable hour ahead market to run with these values is
he 20 . the iso will update you of any changes in line rating status . sent by
market operations , inquiries please call the hour ahead desk .",0,correction pdci and coi derate correction after the day ahead market ran the coi branch group ttc in the north to south direction was changed from mw to mw for he from mw to mws he and he the pdci in the north to south direction from mw to mw he from mw to he and he for the operating day the reason s for the change is extended kv line work the first applicable hour ahead market to run with these values is he the iso will update you of any changes in line rating status sent by market operations inquiries please call the hour ahead desk,"['correc', 'pdci', 'coi', 'derate', 'correc', 'day', 'ahead', 'market', 'ran', 'coi', 'branch', 'group', 'ttc', 'north', 'south', 'direc', 'chang', 'mws', 'pdci', 'north', 'south', 'direc', 'operat', 'day', 'reason', 'change', 'extend', 'line', 'work', 'first', 'applicable', 'hour', 'ahead', 'market', 'run', 'value', 'iso', 'will', 'update', 'change', 'line', 'rat', 'statu', 'market', 'operation', 'inquirie', 'call', 'hour', 'ahead', 'desk']",correc pdci coi derate correc day ahead market ran coi branch group ttc north south direc chang mws pdci north south direc operat day reason change extend line work first applicable hour ahead market run value iso will update change line rat statu market operation inquirie call hour ahead desk,540,50,36,0.0,0.0,0,0,0,0,0.0,0,4.9,0,0,0,1,0.5023301993853774,0,False
922,re : may activity survey,"thanks , daren ,
these are the only stats that we need for now .
shari",ham,2000-06-08,"re : may activity survey thanks , daren ,
these are the only stats that we need for now .
shari",0,re may activity survey thanks daren these are the only stats that we need for now shari,"['may', 'activity', 'survey', 'daren', 'stat', 'ne', 'now', 'shari']",may activity survey daren stat ne now shari,87,8,8,0.0,0.0,0,0,0,0,0.0,0,4.5,0,0,0,1,0.5695400858515918,0,False
3291,mtr 980070 for 10 / 29 - 31 / 1999,"those deals have been manually entered into pops and reallocated . all is well .
mark",ham,2001-05-25,"mtr 980070 for 10 / 29 - 31 / 1999 those deals have been manually entered into pops and reallocated . all is well .
mark",0,mtr for those deals have been manually entered into pops and reallocated all is well mark,"['mtr', 'deal', 'manually', 'enter', 'pop', 'reallocat', 'mark']",mtr deal manually enter pop reallocat mark,89,7,7,0.0,0.0,0,0,0,0,0.0,0,5.142857142857143,0,0,0,1,0.5150852000405118,0,False
